pipeline_step,component,category,scenario,expected_behavior,verification
12,rebate-settlement-scheduler,wallet-state,user ไม่มี active wallet,hold accruals คงสถานะ PENDING ข้ามรอบ — ห้าม flip ไป SETTLED,ส่ง user ที่ wallet ถูก soft-delete → accruals ของ user นั้นยัง PENDING รอบถัดไป
12,rebate-settlement-scheduler,per-user-isolation,user เดียวกันมี accruals หลาย batch ใน partition รอบเดียว,SELECT FOR UPDATE per (user_id + wallet_id) — ป้องกัน race ของ scheduler vs ตัวอื่น,test 1000 accruals ของ user เดียว → 1 settlement row + ทุก accruals → SETTLED
14,financial-wallet-transaction-writer,idempotency,settlement ตัวเดิม apply ซ้ำ (CRITICAL — double-credit wallet),idempotent ตาม settlement_id — เช็ค settlement.status ก่อน (COMPLETED → skip),re-publish settlement event 2 ครั้ง → wallet_transactions row count = 1 + balance ไม่บวกซ้ำ
14,financial-wallet-transaction-writer,referential,wallet_id ไม่มีใน DB,DLQ + alert,ส่ง settlement ที่ wallet_id ลอย → DLQ
14,financial-wallet-transaction-writer,wallet-state,wallet locked / frozen ตอน credit,hold + alert + ห้าม INSERT wallet_transaction — ตั้ง settlement.status = HOLD,ส่ง settlement ของ wallet frozen → ack + alert + settlement.status = HOLD
14,financial-wallet-transaction-writer,atomic-failure,INSERT wallet_transactions สำเร็จ แต่ UPDATE settlement → COMPLETED ตก,ทำใน transaction เดียว — rollback ทั้งหมดถ้า fail,inject error ที่ UPDATE → INSERT ก็ rollback → settlement ยัง PENDING
14,financial-wallet-transaction-writer,boundary,settlement total = 0 (race condition จาก scheduler),skip — ห้าม INSERT wallet_transaction 0,inject settlement total = 0 → ack + ไม่ INSERT
14,financial-wallet-transaction-writer,balance-calculation,balance_after compute ผิดเพราะ concurrent credit อื่น,SELECT FOR UPDATE wallet row → compute balance_after → INSERT,test 10 settlements parallel ของ wallet เดียว → balance_after เป็น chain ที่ถูกต้อง
14,financial-wallet-transaction-writer,currency,settlement currency != wallet currency,convert ตาม fx rate ที่เวลาของ settlement หรือ DLQ ถ้า fx ไม่มี,ส่ง settlement USD ลง wallet THB → convert + INSERT (หรือ DLQ)
16,financial-rebate-earning-calculator,idempotency,wallet transaction event เข้า 2 ครั้ง,track processed_txn_id หรือใช้ UPSERT delta — ห้าม double-count,inject duplicate → IB earning total ไม่บวกซ้ำ
16,financial-rebate-earning-calculator,filter,wallet transaction type ไม่ใช่ REBATE_CREDIT (เช่น DEPOSIT/WITHDRAW),filter ตั้งแต่ consume — skip + ack ไม่ update earning,ส่ง DEPOSIT 1000 → ack + earning total ไม่ขยับ
16,financial-rebate-earning-calculator,filter,reference_type ไม่ใช่ rebate_settlement,filter — skip,ส่ง REBATE_CREDIT ที่ reference_type = manual_adjustment → ack + ไม่ update
16,financial-rebate-earning-calculator,concurrency,user เดียวกันมี wallet txns หลายตัวใน partition,atomic increment (UPDATE earnings SET total = total + X) หรือ row lock,test 100 txns parallel ของ user เดียว → earning total = sum ของ amounts
17,mt5-deals-in-archived,idempotency,re-consume → ClickHouse INSERT ซ้ำ,ReplacingMergeTree ตาม deal_id — merge เป็น 1 row,re-publish 1000 messages 2 รอบ → CH count = 1000 หลัง OPTIMIZE
17,mt5-deals-in-archived,partial-failure,batch INSERT fail กลางคัน,batch atomic — fail แล้ว retry ทั้งก้อน + ห้าม commit Kafka offset,simulate CH error → consumer offset ไม่ commit
17,mt5-deals-in-archived,poison,message schema mismatch,DLQ + alert,inject malformed → DLQ + consumer ยังทำ message ถัดไป
18,mt5-deals-out-archived,idempotency,re-consume → CH INSERT ซ้ำ,ReplacingMergeTree ตาม deal_id,re-publish → CH count คงที่
18,mt5-deals-out-archived,partial-failure,batch fail,atomic batch + retry,simulate CH down → offset ไม่ commit + retry ผ่าน
18,mt5-deals-out-archived,poison,malformed message,DLQ,inject bad payload → DLQ
19,mt5-position-archived,idempotency,re-consume → CH INSERT ซ้ำ,ReplacingMergeTree ตาม position_id,re-publish → CH count คงที่
19,mt5-position-archived,partial-failure,batch fail,atomic batch + retry,simulate CH down → offset ไม่ commit
19,mt5-position-archived,poison,malformed message,DLQ,inject bad payload → DLQ
20,financial-rebate-distribution-archived,idempotency,re-consume → CH INSERT ซ้ำ,ReplacingMergeTree ตาม distribution id,re-publish → CH count คงที่
20,financial-rebate-distribution-archived,partial-failure,batch fail,atomic batch + retry,simulate CH down → offset ไม่ commit
20,financial-rebate-distribution-archived,poison,malformed message,DLQ,inject bad payload → DLQ
21,financial-rebate-accrual-archived,idempotency,re-consume → CH INSERT ซ้ำ,ReplacingMergeTree ตาม accrual id,re-publish → CH count คงที่
21,financial-rebate-accrual-archived,partial-failure,batch fail,atomic batch + retry,simulate CH down → offset ไม่ commit
21,financial-rebate-accrual-archived,poison,malformed message,DLQ,inject bad payload → DLQ
22,financial-rebate-settlement-archived,idempotency,re-consume → CH INSERT ซ้ำ,ReplacingMergeTree ตาม settlement id,re-publish → CH count คงที่
22,financial-rebate-settlement-archived,partial-failure,batch fail,atomic batch + retry,simulate CH down → offset ไม่ commit
22,financial-rebate-settlement-archived,poison,malformed message,DLQ,inject bad payload → DLQ
23,financial-wallet-transaction-archived,idempotency,re-consume → CH INSERT ซ้ำ,ReplacingMergeTree ตาม wallet_transaction_id,re-publish → CH count คงที่
23,financial-wallet-transaction-archived,partial-failure,batch fail,atomic batch + retry,simulate CH down → offset ไม่ commit
23,financial-wallet-transaction-archived,poison,malformed message,DLQ,inject bad payload → DLQ
24,rebate-paid-cleanup-watcher,partial-failure,worker crash ระหว่าง publish ครึ่งทาง,re-scan ตั้งแต่ต้นรอบ (stateless) — cleaner เป็น idempotent อยู่แล้ว safe,kill worker หลัง publish 50% → restart → publish ครบ + ไม่มี side effect
24,rebate-paid-cleanup-watcher,race,row archive ใน CH แต่ batch ยังไม่ commit,เช็ค archived_at <= now() - 5 นาที (lookback window),inject row ที่ archived_at = ปัจจุบัน → watcher skip รอบนี้
24,rebate-paid-cleanup-watcher,settlement-status,settlement.status != COMPLETED (wallet-credit ยังไม่เสร็จ),skip rows ที่ status != COMPLETED — รอ wallet-credit ก่อน,inject settlement.status = PENDING → watcher ไม่ publish paid.clean ของ row นี้
24,rebate-paid-cleanup-watcher,multi-key,7 message shape ตามตาราง (deal_id / position_id / settlement_id / wallet_transaction_id),publish key ที่ตรงกับตาราง — ห้ามรวม shape เดียวกันหลายตาราง,ตรวจ payload ของ paid.clean → key ตรงกับ table ที่ targeting
24,rebate-paid-cleanup-watcher,backfill,row เก่าตกค้างก่อน worker เริ่มรัน,scan ทั้ง table ในรอบแรก — แบ่ง batch ทีละ N rows ตามรอบ,start worker ใหม่ใน DB ที่มี 1M archived rows → publish ค่อยๆ ครบใน N รอบ
25,mt5-deals-in-cleaner,filter-key,รับ paid.clean ที่ key เป็น position_id หรือ settlement_id (ไม่ใช่ deal_id),filter strict — skip + ack ถ้าไม่มี deal_id ใน payload,inject paid.clean payload = position_id 100 → ack + ไม่ DELETE
25,mt5-deals-in-cleaner,idempotency,รับ paid.clean ตัวเดิม 2 ครั้ง,DELETE no-op (RowsAffected = 0) → log + ack,inject duplicate → 2 ครั้งไม่ error
25,mt5-deals-in-cleaner,fk-constraint,deal_in อาจถูก reference โดย mt5_position_completes (FK on deal_in_id),ใช้ FK CASCADE หรือ DELETE หลัง position-cleaner — ตรวจ migration,DELETE deal_in ที่ position ยังไม่ถูกลบ → ตรวจว่า FK ผ่าน (CASCADE) หรือ fail (ต้อง order)
26,mt5-deals-out-cleaner,filter-key,รับ paid.clean ที่ไม่ใช่ deal_id,filter strict — skip + ack,inject payload ที่ไม่มี deal_id → ack
26,mt5-deals-out-cleaner,idempotency,รับซ้ำ → DELETE no-op,DELETE WHERE deal_id = X — second time = 0 rows,duplicate event → ไม่ error
26,mt5-deals-out-cleaner,fk-constraint,deal_out อาจถูก reference โดย rebate_distributions และ mt5_position_completes,ใช้ CASCADE หรือ DELETE หลัง distribution-cleaner + position-cleaner,DELETE deal_out ก่อน distributions ถูกลบ → fail ถ้าไม่มี CASCADE
27,mt5-position-cleaner,filter-key,รับ paid.clean ที่ไม่ใช่ position_id,filter strict — skip + ack,inject payload ที่มี deal_id อย่างเดียว → ack
27,mt5-position-cleaner,idempotency,รับซ้ำ → DELETE no-op,DELETE WHERE position_id = X — second time = 0 rows,duplicate → ไม่ error
28,mt5-rebate-distributions-cleaner,filter-key,รับ paid.clean ที่ไม่ใช่ deal_id,filter strict,inject payload ที่มี settlement_id → ack
28,mt5-rebate-distributions-cleaner,idempotency,DELETE no-op,DELETE WHERE deal_id = X,duplicate → ไม่ error
28,mt5-rebate-distributions-cleaner,fk-constraint,distribution อาจถูก reference โดย rebate_accruals (FK on distribution_id),CASCADE หรือ DELETE หลัง accruals-cleaner,DELETE distribution ก่อน accrual → fail ถ้าไม่มี CASCADE
29,financial-rebate-accruals-cleaner,filter-key,รับ paid.clean ที่ไม่ใช่ deal_id,filter strict,inject payload ที่มี wallet_transaction_id → ack
29,financial-rebate-accruals-cleaner,idempotency,DELETE no-op,DELETE WHERE deal_id = X AND status = SETTLED,duplicate → ไม่ error
29,financial-rebate-accruals-cleaner,status-check,DELETE เฉพาะ accruals ที่ status = SETTLED (ห้ามแตะ PENDING ที่ยังไม่ settle),WHERE clause ต้องเช็ค status — ห้าม DELETE PENDING,inject paid.clean ของ deal ที่มี accruals สถานะผสม → DELETE เฉพาะ SETTLED
30,financial-rebate-settlements-cleaner,filter-key,รับ paid.clean ที่ไม่ใช่ settlement_id,filter strict,inject payload ที่มี deal_id → ack
30,financial-rebate-settlements-cleaner,idempotency,DELETE no-op,DELETE WHERE id = settlement_id,duplicate → ไม่ error
30,financial-rebate-settlements-cleaner,status-check,DELETE เฉพาะ settlement ที่ status = COMPLETED,WHERE clause เช็ค status — ห้าม DELETE PENDING/HOLD,inject settlement.status = HOLD → ไม่ DELETE
31,financial-wallet-transactions-cleaner,filter-key,รับ paid.clean ที่ไม่ใช่ wallet_transaction_id,filter strict,inject payload ที่ไม่มี wallet_transaction_id → ack
31,financial-wallet-transactions-cleaner,idempotency,DELETE no-op,DELETE WHERE id = wallet_transaction_id,duplicate → ไม่ error
31,financial-wallet-transactions-cleaner,fk-constraint,wallet_transaction อาจถูก reference โดย ledger/audit table,ตรวจ migration — ถ้ามี FK ต้อง CASCADE หรือ skip,DELETE wallet_transaction → ตรวจว่ามี FK constraint ไหน fail หรือไม่
