workload,kind,namespace,source_path,image,replicas,env_from,key_env,ports,description,entrypoint_service,entrypoint_cmd
kafka-db-writer,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/kafka-db-writer.yaml,python:3.11-slim,2,kafka-db-writer-config;kafka-stream-brokers,KAFKA_BROKERS (from secret); group=crm-db-writer-grp,n/a,Stage 2 — update transaction status to processing (consumes transition-out),n/a,n/a
kafka-pay-processor,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/kafka-pay-processor.yaml,python:3.11-slim,2,kafka-pay-processor-config;kafka-stream-brokers,KAFKA_BROKERS (from secret); group=crm-pay-processor-grp,n/a,Stage 3 — call MT5 proxy → execute transaction on MT5,n/a,n/a
mt5-deals-in-ingestor,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/mt5-deals-in-ingestor.yaml,18.143.180.226:30002/aeternix-crm/aeternix-mt5-deals-in-ingestor:prd-31,2,mt5-deals-in-ingestor-config;mt5-deals-in-ingestor-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret); group=mt5proc-deal-in,n/a,Ingest MT5 deal-in CDC events → mt5.deal.in.received (Go),onetrust-mt5-processor,mt5-deals-in-ingestor
mt5-deals-out-ingestor,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/mt5-deals-out-ingestor.yaml,18.143.180.226:30002/aeternix-crm/aeternix-mt5-deals-out-ingestor:prd-14,2,mt5-deals-out-ingestor-config;mt5-deals-out-ingestor-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret); group=mt5proc-deal-out,n/a,Legacy Go ingestor for deal-out (superseded by python ingestor),onetrust-mt5-processor,mt5-deals-out-ingestor
mt5-deals-out-ingestor-py,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/mt5-deals-out-ingestor-py.yaml,python:3.11-slim,2,mt5-deals-out-ingestor-py-script;kafka-stream-brokers,KAFKA_BROKERS (from secret); group=mt5proc-deal-out,n/a,Python deal-out ingestor (handles Debezium decimal.0 bug — replaces Go binary),n/a,n/a
mt5-position-archiver,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/mt5-position-archiver.yaml,18.143.180.226:30002/aeternix-crm/aeternix-position-archiver:prd-3,2,position-archiver-config;position-archiver-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret); group=mt5-position-archived,n/a,Archive MT5 positions → ClickHouse (consumes mt5.position.created),onetrust-archiver,mt5-position-archived
mt5-position-cleaner,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/mt5-position-cleaner.yaml,18.143.180.226:30002/aeternix-crm/aeternix-mt5-position-cleaner:prd-1,1,mt5-position-cleaner-config;mt5-position-cleaner-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret); group=mt5-position-cleaner,n/a,Cleanup archived positions from crm_trading_complete after archival,onetrust-archiver,mt5-position-cleaner
mt5-deals-in-cleaner,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/mt5-deals-in-cleaner.yaml,18.143.180.226:30002/aeternix-crm/aeternix-mt5-deals-in-cleaner:prd-1,1,mt5-deals-in-cleaner-config;mt5-deals-in-cleaner-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret); group=mt5-deals-in-cleaner,n/a,Cleanup archived deals-in from 3 databases after archival,onetrust-archiver,mt5-deals-in-cleaner
mt5-deals-out-cleaner,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/mt5-deals-out-cleaner.yaml,18.143.180.226:30002/aeternix-crm/aeternix-mt5-deals-out-cleaner:prd-1,1,mt5-deals-out-cleaner-config;mt5-deals-out-cleaner-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret); group=mt5-deals-out-cleaner,n/a,Cleanup archived deals-out from crm_trading_closed after archival,onetrust-archiver,mt5-deals-out-cleaner
position-completion-detector,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/position-completion-detector.yaml,18.143.180.226:30002/aeternix-crm/aeternix-position-completion-detector:latest,2,position-completion-detector-config;position-completion-detector-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret); group=mt5-position-detector,n/a,Detect position completion — join deal-in/out → emit mt5.position.created,onetrust-mt5-processor,mt5-position-detector
mt5-account-sync,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/mt5-account-sync.yaml,18.143.180.226:30002/aeternix-crm/aeternix-mt5-account-sync:prd-3,2,mt5-account-sync-config;mt5-account-sync-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret); group=mt5-account-sync,n/a,Sync MT5 account changes from Debezium CDC,n/a,n/a
mt5-account-balance-snapshot-sync,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/mt5-account-balance-snapshot-sync.yaml,18.143.180.226:30002/aeternix-crm/aeternix-mt5-account-balance-snapshot-sync:prd-2,2,mt5-account-balance-snapshot-sync-config;mt5-account-balance-snapshot-sync-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret),n/a,Snapshot MT5 account balances from Debezium CDC,onetrust-mt5-processor,mt5-account-balance-snapshot-sync
mt5-account-balance-snapshot-builder,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/mt5-account-balance-snapshot-builder.yaml,18.143.180.226:30002/aeternix-crm/aeternix-mt5-account-balance-snapshot-builder:prd-1,1,mt5-account-balance-snapshot-builder-config;mt5-account-balance-snapshot-builder-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret),n/a,Build balance snapshots from account balance tables,onetrust-mt5-processor,mt5-account-balance-snapshot-builder
mt5-account-balance-snapshot-archived,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/mt5-account-balance-snapshot-archived.yaml,18.143.180.226:30002/aeternix-crm/aeternix-mt5-account-balance-snapshot-archived:prd-2,2,mt5-account-balance-snapshot-archived-config;mt5-account-balance-snapshot-archived-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret); CLICKHOUSE_*; DATABASE_*,6066,Archive balance snapshots → ClickHouse + Postgres,onetrust-archiver,mt5-account-balance-snapshot-archived
financial-rebate-calculator,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/financial-rebate-calculator.yaml,18.143.180.226:30002/aeternix-crm/aeternix-financial-rebate-calculator:prd-2,1,financial-rebate-calculator-config;financial-rebate-calculator-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret); group=financial-rebate-calculator,n/a,Process deal-out events → calculate rebate distributions,onetrust-financial-service,financial-rebate-calculator
financial-rebate-accrual-builder,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/financial-rebate-accrual-builder.yaml,18.143.180.226:30002/aeternix-crm/aeternix-financial-rebate-accrual-builder:prd-1,1,financial-rebate-accrual-builder-config;financial-rebate-accrual-builder-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret),n/a,Build rebate accruals from transaction stream,onetrust-financial-service,financial-rebate-accrual-builder
financial-rebate-accrual-archived,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/financial-rebate-accrual-archived.yaml,18.143.180.226:30002/aeternix-crm/aeternix-financial-rebate-accrual-archived:prd-2,1,financial-rebate-accrual-archived-config;financial-rebate-accrual-archived-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret); CLICKHOUSE_*; DATABASE_*,n/a,Archive rebate accruals → ClickHouse (consumer),onetrust-archiver,financial-rebate-accrual-archived
financial-rebate-accruals-cleaner,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/financial-rebate-accruals-cleaner.yaml,18.143.180.226:30002/aeternix-crm/aeternix-financial-rebate-accruals-cleaner:prd-1,1,financial-rebate-accruals-cleaner-config;financial-rebate-accruals-cleaner-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret),n/a,Cleanup archived rebate accruals after settlement,onetrust-archiver,financial-rebate-accruals-cleaner
financial-rebate-settlement-archived,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/financial-rebate-settlement-archived.yaml,18.143.180.226:30002/aeternix-crm/aeternix-financial-rebate-settlement-archived:prd-1,1,financial-rebate-settlement-archived-config;financial-rebate-settlement-archived-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret); CLICKHOUSE_*; DATABASE_*,n/a,Archive rebate settlements → ClickHouse (consumer),onetrust-archiver,financial-rebate-settlement-archived
financial-rebate-settlements-cleaner,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/financial-rebate-settlements-cleaner.yaml,18.143.180.226:30002/aeternix-crm/aeternix-financial-rebate-settlements-cleaner:prd-1,1,financial-rebate-settlements-cleaner-config;financial-rebate-settlements-cleaner-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret),n/a,Cleanup archived rebate settlements after archival,onetrust-archiver,financial-rebate-settlements-cleaner
financial-wallet-transaction-writer,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/financial-wallet-transaction-writer.yaml,18.143.180.226:30002/aeternix-crm/aeternix-financial-wallet-transaction-writer:prd-2,1,financial-wallet-transaction-writer-config;financial-wallet-transaction-writer-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret); group=financial-wallet-transaction-writer,n/a,Write rebate settlements → wallet transactions (consumer),onetrust-financial-service,financial-wallet-transaction-writer
financial-wallet-transaction-archived,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/financial-wallet-transaction-archived.yaml,18.143.180.226:30002/aeternix-crm/aeternix-financial-wallet-transaction-archived:prd-2,1,financial-wallet-transaction-archived-config;financial-wallet-transaction-archived-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret); CLICKHOUSE_*; DATABASE_*,n/a,Archive wallet transactions → ClickHouse (consumer),onetrust-archiver,financial-wallet-transaction-archived
rebate-accrual-scheduler,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/rebate-accrual-scheduler.yaml,18.143.180.226:30002/aeternix-crm/aeternix-rebate-accrual-scheduler:prd-2,1,rebate-accrual-scheduler-config;rebate-accrual-scheduler-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret),n/a,Poll DB for pending rebate accruals → publish to Kafka (producer),onetrust-archiver,rebate-accrual-scheduler
rebate-settlement-scheduler,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/rebate-settlement-scheduler.yaml,18.143.180.226:30002/aeternix-crm/aeternix-rebate-settlement-scheduler:prd-1,1,rebate-settlement-scheduler-config;rebate-settlement-scheduler-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret),n/a,Poll DB for ready accruals → create rebate.settlement.created (producer),onetrust-financial-service,rebate-settlement-scheduler
rebate-paid-cleanup-watcher,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/rebate-paid-cleanup-watcher.yaml,18.143.180.226:30002/aeternix-crm/aeternix-rebate-paid-cleanup-watcher:prd-1,1,rebate-paid-cleanup-watcher-config;rebate-paid-cleanup-watcher-secret;kafka-stream-brokers,KAFKA_BROKERS (from secret),n/a,Watch for paid settlements → emit cleanup topics,onetrust-archiver,rebate-paid-cleanup-watcher
debezium-connect,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/debezium-connect.yaml,quay.io/debezium/connect:2.7,1,debezium-connect-config,Bootstrap brokers (3-node MSK kafka-stream cluster); group=aeternix-debezium-connect,n/a,Generic Debezium Kafka Connect cluster (CDC: Aurora WAL → Kafka),n/a,n/a
debezium-master,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/debezium-master.yaml,quay.io/debezium/connect:2.7,1,debezium-master-config;debezium-master-secret,MT5 metatrader5 DB; topic.prefix=mt5.deal.in; table=mt5_deals_2026,n/a,Debezium Connect cluster — MT5 deals CDC (PostgresConnector to MT5 metatrader5 DB),n/a,n/a
debezium-deal,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/debezium-deal.yaml,quay.io/debezium/connect:2.7,1,debezium-deal-config;debezium-deal-db-secret,PostgresConnector via $HOST/$DBNAME/$PREFIX; table=public.*,n/a,Debezium Connect cluster — Deal table CDC (parametrized via setup Job),n/a,n/a
debezium-ib,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/debezium-ib.yaml,quay.io/debezium/connect:2.7,1,debezium-ib-config;debezium-ib-db-secret,PostgresConnector via $HOST/$DBNAME/$PREFIX; table=public.*,n/a,Debezium Connect cluster — IB table CDC (parametrized via setup Job),n/a,n/a
cdc-metrics-pusher,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/cdc-metrics-pusher.yaml,python:3.11-slim,1,cdc-metrics-pusher-script;kafka-stream-brokers,KAFKA_BROKERS (from secret),n/a,Sidecar — monitor Debezium CDC throughput → Prometheus,n/a,n/a
kafka-connect-exporter,Deployment,kafka-streams,kubeflow/prd/eks/kafka-streams/kafka-connect-exporter.yaml,python:3.11-slim,1,n/a,n/a,n/a,Sidecar — Kafka Connect connector status → Prometheus,n/a,n/a
mt5-seeder,StatefulSet,kafka-streams,kubeflow/prd/eks/kafka-streams/mt5-seeder.yaml,18.143.180.226:30002/aeternix-crm/aeternix-mt5-seeder:seek-v2,10,mt5-seeder-config;mt5-seeder-secret,(seeder-specific),n/a,"Stateful seeder for MT5 test data (10 ordinal replicas, parallel pod mgmt)",n/a,n/a
debezium-master-setup,Job,kafka-streams,kubeflow/prd/eks/kafka-streams/debezium-master.yaml,curlimages/curl:8.7.1,one-shot,debezium-master-config,n/a,n/a,Job — register Debezium MT5 connector via Connect REST API,n/a,n/a
debezium-deal-setup,Job,kafka-streams,kubeflow/prd/eks/kafka-streams/debezium-deal.yaml,curlimages/curl:8.7.1,one-shot,debezium-deal-config,n/a,n/a,Job — register Debezium deal connector via Connect REST API,n/a,n/a
debezium-ib-setup,Job,kafka-streams,kubeflow/prd/eks/kafka-streams/debezium-ib.yaml,curlimages/curl:8.7.1,one-shot,debezium-ib-config,n/a,n/a,Job — register Debezium IB connector via Connect REST API,n/a,n/a
kafka-topics-setup,Job,kafka-streams,kubeflow/prd/eks/kafka-streams/kafka-topics-setup.yaml,bitnami/kafka:3.6,one-shot,n/a,(hardcoded crmprdkafka brokers),n/a,Job — create Kafka topics on crmprdkafka cluster (mt5/deal/ib/debezium),n/a,n/a
kafka-topic-init,Job,kafka-streams,kubeflow/prd/eks/kafka-streams/topic-init-job.yaml,confluentinc/cp-kafka:7.6.0,one-shot,n/a,KAFKA_STREAM_BROKERS (from configmap/secret),n/a,Job — create/alter topics on crm-prd-kafka-stream (stream.* + mt5.* CDC),n/a,n/a
mt5-seeder-run-002,Job,kafka-streams,kubeflow/prd/eks/kafka-streams/mt5-seeder-job.yaml,18.143.180.226:30002/aeternix-crm/aeternix-mt5-seeder:seek-v2,one-shot,mt5-seeder-job-script;mt5-seeder-config;mt5-seeder-secret,(seeder-specific),n/a,Job — 1M deals seed test,n/a,n/a
mt5-seeder-run-003,Job,kafka-streams,kubeflow/prd/eks/kafka-streams/mt5-seeder-run-003-job.yaml,18.143.180.226:30002/aeternix-crm/aeternix-mt5-seeder:seek-v2,one-shot,mt5-seeder-job-script,(seeder-specific),n/a,Job — previous run-003 seed test,n/a,n/a
mt5-synthetic-gen,Job,kafka-streams,kubeflow/prd/eks/kafka-streams/mt5-synthetic-gen-job.yaml,python:3.11-slim,one-shot,kafka-stream-brokers,KAFKA_BROKERS (from secret),n/a,Job — synthetic deal data generator for load testing,n/a,n/a
mt5-synthetic-gen-10m,Job,kafka-streams,kubeflow/prd/eks/kafka-streams/mt5-synthetic-gen-10m-job.yaml,python:3.11-slim,one-shot,kafka-stream-brokers,KAFKA_BROKERS (from secret),n/a,Job — synthetic 10M deal event generator,n/a,n/a
mt5-position-complete-backfill,Job,kafka-streams,kubeflow/prd/eks/kafka-streams/mt5-position-complete-backfill-job.yaml,python:3.11-slim,one-shot,kafka-stream-brokers,KAFKA_BROKERS (from secret),n/a,Job — backfill position-complete data,n/a,n/a
mt5-position-complete-backfill-v2,Job,kafka-streams,kubeflow/prd/eks/kafka-streams/mt5-position-complete-backfill-v2-job.yaml,python:3.11-slim,one-shot,kafka-stream-brokers,KAFKA_BROKERS (from secret),n/a,Job — backfill position-complete data (v2),n/a,n/a
mt5-deals-in-db-copy,Job,kafka-streams,kubeflow/prd/eks/kafka-streams/mt5-deals-in-db-copy-job.yaml,python:3.11-slim,one-shot,n/a,n/a,n/a,Job — copy mt5_deals_in between databases,n/a,n/a
mt5-deals-out-db-copy,Job,kafka-streams,kubeflow/prd/eks/kafka-streams/mt5-deals-out-db-copy-job.yaml,python:3.11-slim,one-shot,n/a,n/a,n/a,Job — copy mt5_deals_out between databases,n/a,n/a
kafka-position-reset,Job,kafka-streams,kubeflow/prd/eks/kafka-streams/kafka-position-reset-job.yaml,python:3.11-slim,one-shot,kafka-stream-brokers,KAFKA_BROKERS (from secret),n/a,Job — reset Kafka consumer group offsets,n/a,n/a
debezium-balance-snapshot-setup,Job,kafka-streams,kubeflow/prd/eks/kafka-streams/debezium-balance-snapshot-setup.yaml,python:3.11-slim,one-shot,kafka-stream-brokers,KAFKA_BROKERS (from secret),n/a,Job — register Debezium balance-snapshot connectors,n/a,n/a
debezium-setup,Job,kafka-streams,kubeflow/prd/eks/kafka-streams/debezium-setup-job.yaml,python:3.11-slim,one-shot,n/a,n/a,n/a,Job — grant REPLICATION privileges + setup Debezium roles,n/a,n/a
cdc-perf-test,Job,kafka-streams,kubeflow/prd/eks/kafka-streams/cdc-perf-test-job.yaml,python:3.11-slim,one-shot,kafka-stream-brokers,KAFKA_BROKERS (from secret),n/a,Job — CDC performance test against 8 Debezium connectors,n/a,n/a
ch-kafka-tune,Job,kafka-streams,kubeflow/prd/eks/kafka-streams/ch-kafka-tune-job.yaml,python:3.11-slim,one-shot,kafka-stream-brokers,KAFKA_BROKERS (from secret),n/a,Job — ClickHouse Kafka performance tuning,n/a,n/a
clone-perf-test,Job,kafka-streams,kubeflow/prd/eks/kafka-streams/clone-perf-test-job.yaml,python:3.11-slim,one-shot,kafka-stream-brokers,KAFKA_BROKERS (from secret),n/a,Job — clone + performance test suite,n/a,n/a
rds-connection-check,Job,kafka-streams,kubeflow/prd/eks/kafka-streams/rds-connection-check-job.yaml,python:3.11-slim,one-shot,n/a,n/a,n/a,Job — RDS connectivity health check,n/a,n/a
