service,cmd_name,cmd_path,dockerfile_path,kind,deployable,port,description
onetrust-financial-service,server-worker,./cmd/server-worker,deployments/Dockerfile,worker,yes,,Outbox publisher worker — poll outbox table ทุก 10ms ดึง LEDGER aggregate event ส่งเข้า Kafka topic ledger.events
onetrust-archiver,api,./cmd/api,deployments/Dockerfile,server,yes,8086,REST API (Fiber) ขั้นต่ำของ archiver — Phase 1 มีเฉพาะ /health (port hardcoded 8086); ในอนาคตจะเพิ่ม admin endpoint เช่น manual replay / ClickHouse row count / DLQ inspection
onetrust-archiver,financial-rebate-accrual-archived,./cmd/financial-rebate-accrual-archived,deployments/Dockerfile,consumer,yes,,Kafka batch consumer — archive rebate_accruals จาก event financial.rebate.accrual.created ลง ClickHouse (target=ib)
onetrust-archiver,financial-rebate-accruals-cleaner,./cmd/financial-rebate-accruals-cleaner,deployments/Dockerfile,consumer,yes,,Kafka consumer ฟัง paid.clean — DELETE แถว rebate_accruals (match deal_id) ออกจาก financial Postgres หลัง archive แล้ว
onetrust-archiver,financial-rebate-distribution-archived,./cmd/financial-rebate-distribution-archived,deployments/Dockerfile,consumer,yes,,Kafka batch consumer — archive rebate_distributions จาก event financial.rebate.distribution.created ลง ClickHouse (target=ib)
onetrust-archiver,financial-rebate-distributions-cleaner,./cmd/financial-rebate-distributions-cleaner,deployments/Dockerfile,consumer,yes,,Kafka consumer ฟัง paid.clean — DELETE แถว rebate_distributions (match deal_id) จาก financial Postgres หลัง archive (เดิมชื่อ mt5-rebate-distributions-cleaner — rename เพื่อ pattern เดียวกับ cleaner ฝั่ง financial ตัวอื่น)
onetrust-archiver,financial-rebate-settlement-archived,./cmd/financial-rebate-settlement-archived,deployments/Dockerfile,consumer,yes,,Kafka batch consumer — archive rebate_settlements จาก event financial.rebate.settlement.created ลง ClickHouse (target=ib)
onetrust-archiver,financial-rebate-settlements-cleaner,./cmd/financial-rebate-settlements-cleaner,deployments/Dockerfile,consumer,yes,,Kafka consumer ฟัง paid.clean — DELETE แถว rebate_settlements ออกจาก financial Postgres หลัง archive
onetrust-archiver,financial-wallet-transaction-archived,./cmd/financial-wallet-transaction-archived,deployments/Dockerfile,consumer,yes,,Kafka batch consumer — archive wallet_transactions จาก event financial.wallet.transaction.created ลง ClickHouse (target=ib)
onetrust-archiver,financial-wallet-transactions-cleaner,./cmd/financial-wallet-transactions-cleaner,deployments/Dockerfile,consumer,yes,,Kafka consumer ฟัง paid.clean — DELETE แถว wallet_transactions ออกจาก financial Postgres หลัง archive
onetrust-archiver,mt5-account-balance-snapshot-archived,./cmd/mt5-account-balance-snapshot-archived,deployments/Dockerfile,consumer,yes,,Kafka batch consumer — archive mt5 account balance snapshots ลง ClickHouse (target=client)
onetrust-archiver,mt5-account-balance-snapshot-cleaner,./cmd/mt5-account-balance-snapshot-cleaner,deployments/Dockerfile,consumer,yes,,Kafka consumer ฟัง snapshot clean event — DELETE แถว mt5_account_balance_snapshots จาก trading Postgres หลัง archive
onetrust-archiver,mt5-account-balance-snapshot-cleanup-watcher,./cmd/mt5-account-balance-snapshot-cleanup-watcher,deployments/Dockerfile,scheduler,yes,,Cron worker (scaffold / tick 1 นาที / replicas=1) — จะคอย watch snapshot ที่ archive แล้วและ publish snapshot cleanup event เพื่อ trigger cleaner — ยังไม่ implement [scaffold]
onetrust-archiver,mt5-deals-in-archived,./cmd/mt5-deals-in-archived,deployments/Dockerfile,consumer,yes,,Kafka batch consumer — archive mt5_deals_in ลง ClickHouse (target=client)
onetrust-archiver,mt5-deals-in-cleaner,./cmd/mt5-deals-in-cleaner,deployments/Dockerfile,consumer,yes,,Kafka consumer ฟัง paid.clean — DELETE แถว mt5_deals_in จาก crm_trading_open Postgres หลัง archive
onetrust-archiver,mt5-deals-out-archived,./cmd/mt5-deals-out-archived,deployments/Dockerfile,consumer,yes,,Kafka batch consumer — archive mt5_deals_out ลง ClickHouse (target=client)
onetrust-archiver,mt5-deals-out-cleaner,./cmd/mt5-deals-out-cleaner,deployments/Dockerfile,consumer,yes,,Kafka consumer ฟัง paid.clean — DELETE แถว mt5_deals_out จาก crm_trading_closed Postgres หลัง archive
onetrust-archiver,mt5-position-archived,./cmd/mt5-position-archived,deployments/Dockerfile,consumer,yes,,Kafka batch consumer — archive mt5_position_completes ลง ClickHouse (target=client)
onetrust-archiver,mt5-position-cleaner,./cmd/mt5-position-cleaner,deployments/Dockerfile,consumer,yes,,Kafka consumer ฟัง paid.clean — DELETE แถว mt5_position_completes จาก crm_trading_complete Postgres หลัง archive
onetrust-archiver,rebate-accrual-scheduler,./cmd/rebate-accrual-scheduler,deployments/Dockerfile,scheduler,yes,,Cron worker (scaffold / tick 1 นาที / replicas=1) — จะ drive rebate accrual batching เป็นรอบ — ยังไม่ implement [scaffold]
onetrust-archiver,rebate-paid-cleanup-watcher,./cmd/rebate-paid-cleanup-watcher,deployments/Dockerfile,scheduler,yes,,Cron worker (scaffold / tick 1 นาที / replicas=1) — จะ watch รายการที่จ่าย rebate ครบและ publish paid.clean เพื่อ trigger cleaners ตัวอื่น — ยังไม่ implement [scaffold]
onetrust-client-portal-api,server,./cmd/server,deployments/Dockerfile,server,yes,8080,REST API (Fiber) หลักฝั่ง Client + Partner-IB — ครอบคลุม auth / user (profile / password / 2FA) / trading (account / order / performance) / cashier / IB (referral / wallet / upgrade / dashboard / downline / network stats / rebate) — port hardcoded 8080
onetrust-client-portal-api,server-admin,./cmd/server-admin,deployments/Dockerfile,server,yes,8081,REST API (Fiber) ฝั่ง Admin — จัดการ staff / user / IB upgrade / rebate scheme / rebate line / rebate calculation / KYC / ledger ops / withdraw approval / liquidation / symbol / wallet / transaction history — port hardcoded 8081
onetrust-client-portal-api,server-ledger,./cmd/server-ledger,deployments/Dockerfile,server,yes,8083,REST API (Fiber) เฉพาะฝั่ง ledger — account + transaction (double-entry) สำหรับให้ service ภายในเรียก — port hardcoded 8083 (ชนกับ server-test ห้าม run คู่กัน)
onetrust-client-portal-api,server-partner,./cmd/server-partner,deployments/Dockerfile,server,yes,8082,REST API (Fiber) เฉพาะฝั่ง Partner-IB — dashboard / downline / link analytics / network stats / rebate history / referral link / upgrade / wallet (แยก process จาก server หลัก) — port hardcoded 8082
onetrust-client-portal-api,server-swagger,./cmd/server-swagger,deployments/Dockerfile,server,yes,8080,Fiber server ที่ serve Swagger UI (path /*) สำหรับดู API docs ของ client-portal-api — port hardcoded 8080 (ชนกับ server หลัก ห้าม run คู่กัน)
onetrust-client-portal-api,server-test,./cmd/server-test,deployments/Dockerfile,server,yes,8083,REST API (Fiber) สำหรับ tester — endpoint mt5_sync / temp_mt5_account / temp_mt5_deal / temp_mt5_position สำหรับ environment dev/SIT (ไม่ deploy PROD) — port hardcoded 8083 (ชนกับ server-ledger)
onetrust-client-portal-api,server-worker,./cmd/server-worker,deployments/Dockerfile,worker,yes,,Worker — cronjob + outbox publisher ของ flow cashier (deposit / withdraw / internal transfer / mt5sync) ในฝั่ง client-portal-api
onetrust-mt5-proxy-api,server,./cmd/server,deployments/Dockerfile,server,yes,${PORT},REST API proxy (Fiber) หน้า MT5 Web API — endpoint account / deal / group / position / server / symbol / trade / user สำหรับให้ service ภายในเรียกผ่าน X-API-Key (port อ่านจาก config.Port)
